2021-01-16 11:52:25.580 - INFO - 5425 - azureml.train.automl.automlconfig._start_execution:152 - No compute target or run config provided. Running local legacy run.
2021-01-16 11:52:25.582 - INFO - 5425 - azureml.train.automl.automlconfig._start_execution:195 - Submitting local legacy run.
2021-01-16 11:52:25.583 - INFO - 5425 - azureml.automl.core.package_utilities._log_activity:54 - ActivityStarted: PackagesCheck
2021-01-16 11:52:25.592 - INFO - 5425 - azureml.automl.core.package_utilities._has_versionconflict_or_not_installed:278 - Package: azureml-dataset-runtime, Version: 1.19.0.post1 found.
2021-01-16 11:52:25.594 - INFO - 5425 - azureml.automl.core.package_utilities._has_versionconflict_or_not_installed:278 - Package: azureml-telemetry, Version: 1.19.0 found.
2021-01-16 11:52:25.610 - INFO - 5425 - azureml.automl.core.package_utilities._has_versionconflict_or_not_installed:278 - Package: boto3, Version: 1.15.18 found.
2021-01-16 11:52:25.611 - INFO - 5425 - azureml.automl.core.package_utilities._has_versionconflict_or_not_installed:278 - Package: azureml-train-automl-client, Version: 1.19.0 found.
2021-01-16 11:52:25.611 - INFO - 5425 - azureml.automl.core.package_utilities._has_versionconflict_or_not_installed:278 - Package: azureml-automl-runtime, Version: 1.19.0 found.
2021-01-16 11:52:25.612 - INFO - 5425 - azureml.automl.core.package_utilities._has_versionconflict_or_not_installed:278 - Package: azureml-core, Version: 1.19.0 found.
2021-01-16 11:52:25.612 - INFO - 5425 - azureml.automl.core.package_utilities._has_versionconflict_or_not_installed:278 - Package: pandas, Version: 0.25.3 found.
2021-01-16 11:52:25.613 - INFO - 5425 - azureml.automl.core.package_utilities._has_versionconflict_or_not_installed:278 - Package: statsmodels, Version: 0.10.2 found.
2021-01-16 11:52:25.613 - INFO - 5425 - azureml.automl.core.package_utilities._has_versionconflict_or_not_installed:278 - Package: onnx, Version: 1.7.0 found.
2021-01-16 11:52:25.614 - INFO - 5425 - azureml.automl.core.package_utilities._has_versionconflict_or_not_installed:278 - Package: botocore, Version: 1.18.18 found.
2021-01-16 11:52:25.614 - INFO - 5425 - azureml.automl.core.package_utilities._has_versionconflict_or_not_installed:278 - Package: onnxmltools, Version: 1.4.1 found.
2021-01-16 11:52:25.614 - INFO - 5425 - azureml.automl.core.package_utilities._has_versionconflict_or_not_installed:278 - Package: azure-storage-queue, Version: 12.1.4 found.
2021-01-16 11:52:25.615 - INFO - 5425 - azureml.automl.core.package_utilities._has_versionconflict_or_not_installed:278 - Package: azureml-interpret, Version: 1.19.0 found.
2021-01-16 11:52:25.615 - INFO - 5425 - azureml.automl.core.package_utilities._has_versionconflict_or_not_installed:278 - Package: lightgbm, Version: 2.3.0 found.
2021-01-16 11:52:25.615 - INFO - 5425 - azureml.automl.core.package_utilities._has_versionconflict_or_not_installed:278 - Package: skl2onnx, Version: 1.4.9 found.
2021-01-16 11:52:25.616 - INFO - 5425 - azureml.automl.core.package_utilities._has_versionconflict_or_not_installed:278 - Package: jinja2, Version: 2.11.2 found.
2021-01-16 11:52:25.616 - INFO - 5425 - azureml.automl.core.package_utilities._has_versionconflict_or_not_installed:278 - Package: smart-open, Version: 1.9.0 found.
2021-01-16 11:52:25.616 - INFO - 5425 - azureml.automl.core.package_utilities._has_versionconflict_or_not_installed:278 - Package: onnxconverter-common, Version: 1.6.0 found.
2021-01-16 11:52:25.616 - INFO - 5425 - azureml.automl.core.package_utilities._has_versionconflict_or_not_installed:278 - Package: scikit-learn, Version: 0.22.2.post1 found.
2021-01-16 11:52:25.616 - INFO - 5425 - azureml.automl.core.package_utilities._has_versionconflict_or_not_installed:278 - Package: azureml-telemetry, Version: 1.19.0 found.
2021-01-16 11:52:25.616 - INFO - 5425 - azureml.automl.core.package_utilities._has_versionconflict_or_not_installed:278 - Package: azureml-defaults, Version: 1.19.0 found.
2021-01-16 11:52:25.617 - INFO - 5425 - azureml.automl.core.package_utilities._has_versionconflict_or_not_installed:278 - Package: scipy, Version: 1.5.2 found.
2021-01-16 11:52:25.617 - INFO - 5425 - azureml.automl.core.package_utilities._has_versionconflict_or_not_installed:278 - Package: numpy, Version: 1.18.5 found.
2021-01-16 11:52:25.617 - INFO - 5425 - azureml.automl.core.package_utilities._has_versionconflict_or_not_installed:278 - Package: keras2onnx, Version: 1.6.0 found.
2021-01-16 11:52:25.617 - INFO - 5425 - azureml.automl.core.package_utilities._has_versionconflict_or_not_installed:278 - Package: azureml-dataset-runtime, Version: 1.19.0.post1 found.
2021-01-16 11:52:25.617 - INFO - 5425 - azureml.automl.core.package_utilities._has_versionconflict_or_not_installed:278 - Package: azureml-automl-core, Version: 1.19.0 found.
2021-01-16 11:52:25.617 - INFO - 5425 - azureml.automl.core.package_utilities._has_versionconflict_or_not_installed:278 - Package: gensim, Version: 3.8.3 found.
2021-01-16 11:52:25.617 - INFO - 5425 - azureml.automl.core.package_utilities._has_versionconflict_or_not_installed:278 - Package: sklearn-pandas, Version: 1.7.0 found.
2021-01-16 11:52:25.617 - INFO - 5425 - azureml.automl.core.package_utilities._has_versionconflict_or_not_installed:278 - Package: onnxruntime, Version: 1.3.0 found.
2021-01-16 11:52:25.649 - INFO - 5425 - azureml.automl.core.package_utilities._has_versionconflict_or_not_installed:278 - Package: azureml-telemetry, Version: 1.19.0 found.
2021-01-16 11:52:25.649 - INFO - 5425 - azureml.automl.core.package_utilities._has_versionconflict_or_not_installed:278 - Package: ipywidgets, Version: 7.5.1 found.
2021-01-16 11:52:25.649 - INFO - 5425 - azureml.automl.core.package_utilities._has_versionconflict_or_not_installed:278 - Package: azureml-core, Version: 1.19.0 found.
2021-01-16 11:52:25.672 - INFO - 5425 - azureml.automl.core.package_utilities._has_versionconflict_or_not_installed:278 - Package: werkzeug, Version: 1.0.1 found.
2021-01-16 11:52:25.672 - INFO - 5425 - azureml.automl.core.package_utilities._has_versionconflict_or_not_installed:278 - Package: azureml-dataset-runtime, Version: 1.19.0.post1 found.
2021-01-16 11:52:25.672 - INFO - 5425 - azureml.automl.core.package_utilities._has_versionconflict_or_not_installed:278 - Package: flask, Version: 1.0.3 found.
2021-01-16 11:52:25.672 - INFO - 5425 - azureml.automl.core.package_utilities._has_versionconflict_or_not_installed:278 - Package: gunicorn, Version: 19.9.0 found.
2021-01-16 11:52:25.672 - INFO - 5425 - azureml.automl.core.package_utilities._has_versionconflict_or_not_installed:278 - Package: applicationinsights, Version: 0.11.9 found.
2021-01-16 11:52:25.672 - INFO - 5425 - azureml.automl.core.package_utilities._has_versionconflict_or_not_installed:278 - Package: azureml-core, Version: 1.19.0 found.
